"The matching between baiser_2011 and the gift database (10.5061/dryad.fv94v)  was done manually. When no certain match was found, Wikipedia was used to obtain area and coordinates.",,,,,,
Archipelago,island,match_island_GIFT_ID,area_km2,area_source,coordinates,coordinates_source
Antartic,Amsterdam,53426,,,,
Antartic,Kerguelen,5439,,,,
Antartic,Marion,53408,,,,
Antartic,Prince.Edward,53410,,,,
Azores,Corvo,19159,,,,
Azores,Faial,19103,,,,
Azores,Flores,19158,,,,
Azores,Graciosa2,19152,,,,
Azores,Pico,19100,,,,
Azores,S.Jorge,19139,,,,
Azores,S.Maria,18774,,,,
Azores,S.Miguel,19038,,,,
Azores,Terceria,19146,,,,
Canaries,Alegranza,18255,,,,
Canaries,El.Hierro,18235,,,,
Canaries,Fuerteventura,18245,,,,
Canaries,Gomera,18241,,,,
Canaries,Graciosa1,18251,,,,
Canaries,Gran.Canaria,18240,,,,
Canaries,La.Palma,18247,,,,
Canaries,Lanzarote,18249,,,,
Canaries,Lobos,18246,,,,
Canaries,Montana.Clara,18252,,,,
Canaries,Tenerife,18243,,,,
Cape Verdes,Boavista,18196,,,,
Cape Verdes,Branco,18198,,,,
Cape Verdes,Brava,18180,,,,
Cape Verdes,Fogo,18186,,,,
Cape Verdes,I.do.Rombo,18184,,,,
Cape Verdes,Maio,18188,,,,
Cape Verdes,Raso,18197,,,,
Cape Verdes,S.Luzia,18201,,,,
Cape Verdes,S.Nicolau,18199,,,,
Cape Verdes,S.Vicente,18204,,,,
Cape Verdes,Sal,18202,,,,
Cape Verdes,San.Antao,18205,,,,
Cape Verdes,Santiago2,18189,,,,
Caymans,Cayman.Brac,11927,,,,
Caymans,Grand.Cayman,11898,,,,
Caymans,Little.Cayman,11926,,,,
Comoros,Anjouan,54277,,,,
Comoros,Grand.Comoro,54294,,,,
Comoros,Mayotte,54179,,,,
Comoros,Moheli,NA,211,Wikipedia,12°15?S 43°45?E,Wikipedia
Cook Islands,Aitutaki,8815,,,,
Cook Islands,Atiu,8715,,,,
Cook Islands,Mangaia,8623,,,,
Cook Islands,Manihiki,NA,4,Wikipedia,10°24?S 161°00?W,Wikipedia
Cook Islands,Manuae,8761,,,,
Cook Islands,Mauke,8702,,,,
Cook Islands,Mitiaro,8737,,,,
Cook Islands,Nassau,9693,,,,
Cook Islands,Palmerston,NA,2.6,Wikipedia,18°04?S 163°10?W,Wikipedia
Cook Islands,Penrhyn,NA,9.8,Wikipedia,9°00?20?S 157°58?10?W,Wikipedia
Cook Islands,Pukapuka,NA,5,Wikipedia,10°53?00?S 165°51?00?W,Wikipedia
Cook Islands,Rakahanga,NA,4,Wikipedia,10°02?S 161°05?W,Wikipedia
Cook Islands,Rarotonga,8654,,,,
Cook Islands,Suwarrow,NA,9.8,Wikipedia,13°16?9?S 163°6?41?,Wikipedia
Cook Islands,Takutea,8741,,,,
Galapagos,Baltra/Seymour,9949,,,,
Galapagos,Espanola,9883,,,,
Galapagos,Fernandina,9960,,,,
Galapagos,Floreana,NA,173,Wikipedia,1°17?51?S 90°26?03?W,Wikipedia
Galapagos,Genovesa,9979,,,,
Galapagos,Isabela,9975,,,,
Galapagos,Pinzon,9927,,,,
Galapagos,San.Cristobal,9906,,,,
Galapagos,Santa.Cruz,9942,,,,
Galapagos,Santa.Fe,9902,,,,
Galapagos,Santiago1,9970,,,,
Greater Antilles,Cuba,13567,,,,
Greater Antilles,Hispaniola,0,,,,
Greater Antilles,Jamaica,11801,,,,
Greater Antilles,Puerto.Rico,11797,,,,
Gulfof Guinea,Annobon,NA,17,Wikipedia,1.43500°S 5.63750°E,Wikipedia
Gulfof Guinea,Principe,54815,,,,
Gulfof Guinea,Sao.Tome,54803,,,,
Hawaii,Hawaii,9827,,,,
Hawaii,Kauai,9854,,,,
Hawaii,Lanai,9832,,,,
Hawaii,Maui,9834,,,,
Hawaii,Molokai,9838,,,,
Hawaii,Oahu,9850,,,,
Lesser Antilles,Anguilla,11682,,,,
Lesser Antilles,Barbados,11169,,,,
Lesser Antilles,Dominica,11229,,,,
Lesser Antilles,Grenada,11050,,,,
Lesser Antilles,Guadeloupe,11384,,,,
Lesser Antilles,Martinique,11221,,,,
Lesser Antilles,Monserrat,11431,,,,
Lesser Antilles,Saba,11565,,,,
Lesser Antilles,St.Barthelemy,11604,,,,
Lesser Antilles,St.Eustacius,11541,,,,
Lesser Antilles,St.Lucia,11193,,,,
Lesser Antilles,St.Martin,11653,,,,
Madeira,Madeira,18614,,,,
Madeira,Porto.Santo,18726,,,,
Marianas,Agiguan,75004,,,,
Marianas,Agrihan,75323,,,,
Marianas,Alamagan,75277,,,,
Marianas,Anatahan,75166,,,,
Marianas,Asuncion,58827,,,,
Marianas,Guam,74754,,,,
Marianas,Guguan,75268,,,,
Marianas,Maug,58844,,,,
Marianas,Medinilla,75095,,,,
Marianas,Pagan,75290,,,,
Marianas,Rota,74908,,,,
Marianas,Saipan,75050,,,,
Marianas,Sarigan,75221,,,,
Marianas,Tinian,75038,,,,
Marianas,Uracas,58865,,,,
Mascarenes,Mauritius,53663,,,,
Mascarenes,Reunion,53611,,,,
