"Mix of several Tabula extractions, some saved, some copy pasted because more complete than the whole document extraction.",,,,,,,,,,,,,,,,,,,,
species,Allegheny,Chemung,Susquehanna,Delaware,Erie-Niagara,Genesee,Lake Ontario,Oswego,Black,Oswegatchie,Raquette,St. Lawrence,St. Lawrence Canada,Lake Champlain,Upper Hudson,Mohawk,Lower Hudson,Newark Bay,Long Island,
Ichthyomyzon bdellium Ohio lamprey,23,,,,,,,,,,,,,,,,,,,
Ichthyomyzon fossor northern brook lamprey,,,,,123,,,,,,,,23,23,,,,,,
Ichthyomyzon greeleyi mountain brook lamprey,123,,,,,,,,,,,,,,,,,,,
Ichthoymyzon unicuspis silver lamprey,,,,,13,,13,,,3,1,13,3,123,12,,2,,,
Lampetra appendix American brook lamprey,123,,,,123,23,123,123,,,,3,23,23,,,12,,23,
Petromyzon marinus sea lamprey,,,1,123,23,,123,123,23 m,1,3 m,13,123,123,2,,123,,123,
Acipenser brevirostrum shortnose sturgeon,,,,,,,,,,,,,,,,,123,,,
Acipenser fulvescens lake sturgeon,,,,,123,1 m,123,123,,123,13,123,2 m,13,,3,,,,
Acipenser oxyrynchus Atlantic sturgeon,,,,1,,,,,,,,,,,,,123,,,
Polyodon spathula paddlefish,1,,,,,,,,,,,,,,,,,,,
Lepisosteus osseus longnose gar,123,,,,123,23 m,123,123,,123,3 m,123,1 m,123,,,3,,,
Amia calva bowfin,,,,23,123,23 m,123,123,,123,13 m,123,,12,,,23,,,
Hiodon tergisus mooneye,1,,,,13,,1,,,123,,12,,123,,,,,,
Anguilla rostrata American eel,2,12,123,123,123,123,123,123,123,123,23,123,123,12,123,123,123,12,123,
Alosa aestivalis blueblack herring,,,,,,,3,3,,,,3,,23,2,123,123,,13,
Alosa pseudoharengus alewife,,123,123,23,123,23,123,123,,,,123,,23,123,123,123,3,123,
Alosa mediocris hickory shad,,,,,,,,,,,,,,,,,123,,,
Alosa sapidissima American shad,,1,1,123,,,,,,,,,,,12,1 m,123,,1,
Dorosoma cepedianum gizzard shad,3,3,3,23,123,23,123,123,,,,23,,3,2,23,23,,123,
Anchoa mitchilli bay anchovy,,,,,,,,,,,,,,,,,123,,123,
Campostoma anomalum central stoneroller,123,123,123,23,123,123,123,123,,,3,23,,,2,23,23,,,
Carassius auratus goldfish,123,123,23,3,123,23,123,23,,,,2,,2,23,123,123,12,123,
Clinostomus elongatus redside dace,123,123,123,,123,123,123,123,123,123,,,,,,123,,,,
Couesius plumbeus lake chub,,,,123,,,12,1,123,123,123,123,123,123,123,123,,,,
Ctenopharyngodon idella grass carp,,,,,3,,,,3,,,,,,,,3,,3,
Cyprinella analostana satinfin shiner,,12,123,123,,,,123,13,,,,,,2,123,123,2,,
Cyprinella spiloptera spotfin shiner,123,123,123,13,123,123,123,123,12,3,1,13,13,123,123,123,123,,,
Cyprinus carpio common carp,123,123,123,123,123,123,123,123,123,23,13,123,23,123,123,123,123,123,123,
Erimystax dissimilis streamline chub,123,,,,,,,,,,,,,,,,,,,
Erimystax x-punctatus gravel chub,12,,,,,,,,,,,,,,,,,,,
Exoglossum laurae tonguetied minnow,123,,,,,123,,,,,,,,,,,,,,
Exoglossum maxillingua cutlip minnow,,123,123,123,,123,123,123,123,123,123,123,123,123,123,123,123,123,3,
Hybognathus hankinsoni brassy minnow,3,,2,,1,2,123,23,12,123,123,13,13,13,1,13,23,,,
Hybognathus regis eastern silvery minnow,,12,2,13,,12,123,123,23,3,,3,3,123,12,123,123,,,
Hybopsis amblops bigeye chub,123,,,,123,,1,,,,,,,,,,,,,
Luxilus cornutus common shiner,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Luxilus chrysocephalus striped shiner,123,,,,123,123,123,123,,,,,,,,,,,,
Lythrurus umbratilis redfin shiner,,,,,123,,13,1,,,,,,,,,,,,
Macrhybopsis storeiana silver chub,,,,,1,,1,,,,,,,,,,,,,
Margariscus margarita pearl dace,123,123,123,,123,123,12,123,123,123,12,123,123,123,123,123,12,,,
Nocomis biguttatus hornyhead chub,123,,,,123,123,123,123,,,,,,,,,123,,,
Nocomis micropogon river chub,123,123,123,,123,,123,12,,,,,,,,,,,,
Notemigonus crysoleucas golden shiner,123,123,123,123,123,123,123,123,123,123,123,123,23,123,123,123,123,123,123,
Notropis amoenus comely shiner,,12,123,123,,,,23,,,,,,,,1,123,1,,
Notropis anogenus pugnose shiner,,,,,,,13,1,,,,123,,,,,,,,
Notropis atherinoides emerald shiner,123,23,123,23,123,123,123,123,,3,3,123,2,123,123,123,123,,,
Notropis bifrenatus bridle shiner,,123,123,12,2,23,123,123,,123,123,123,13,123,123,123,123,123,13,
Notropis buccatus silverjaw minnow,23,,,,,,,,,,,,,,,,,,,
Notropis chalybaeus ironcolor shiner,,,,123,,,,,,,,,,,,,,1,,
Notropis dorsalis bigmouth shiner,123,23,,,123,123,,1,,,,,,,,,,,,
Notropis heterodon blackchin shiner,12,,123,,12,123,123,12,,13,,123,,123,12,,,,,
Notropis heterolepis blacknose shiner,123,123,2,,123,2,123,123,,123,23,123,13,123,12,12,,,,
Notropis hudsonius spottail shiner,123,123,123,123,123,123,123,123,123,12,1,123,13,123,123,123,123,2,,
Notropis photogenis silver shiner,123,,,,,,,,,,,,,,,,,,,
Notropis procne swallowtail shiner,,123,123,123,,,,1,,,,,,,,,,,,
