regional,local,latitude,longitude
Chile,Aco,-33.04,-70.44
Chile,And,-36.78,-73.03
Chile,Asc,-21.51,-68.3
Chile,Ays,-46.17,-72.6
Chile,Bak,-47.14,-72.22
Chile,Bio,-37.47,-72.07
Chile,Bue,-40.39,-72.89
Chile,Cam,-19.01,-69.86
Chile,Cho,-31.64,-71.04
Chile,Chu,-18.31,-69.14
Chile,Cis,-44.72,-72.69
Chile,Cop,-27.05,-69.65
Chile,Elq,-29.7,-70.62
Chile,Hua,-28.56,-70.65
Chile,Imp,-38.6,-72.86
Chile,Isl,-18.97,-68.73
Chile,Ita,-36.33,-72.39
Chile,Lau,-18.19,-69.27
Chile,Lim,-30.75,-70.86
Chile,Loa,-21.78,-69.52
Chile,Mai,-33.76,-70.73
Chile,Mal,-41.58,-73.3
Chile,Mat,-35.01,-71.76
Chile,Mau,-35.37,-71.55
Chile,Pal,-43.96,-72.4
Chile,Rap,-34.38,-71.04
Chile,Ser,-51.28,-73.12
Chile,Tol,-39.18,-72.36
Chile,Val,-39.81,-73
