extracted from supplementary 1 41598_2017_5114_MOESM1_ESM.docx
Island	Latitude	Longitude	Area (km2)
Gorgona	43.430932	9.899021	2.26
Capraia	43.038575	9.81988	19.32
Palmaiola	42.865538	10.47457	0.083
Cerboli	42.858345	10.547543	0.089
Elba	42.778187	10.192739	2244.09
Scarpa	42.622071	10.079953	0.005
Scola	42.583811	10.106143	0.015
Pianosa	42.581037	10.077738	10.28
Formica Grande	42.576747	10.881488	0.099
Argentarola	42.418538	11.081376	0.012
Monte Argentario	42.407271	11.150397	60.23
Isolotto Porto Ercole	42.381389	11.211111	0.063
Formica di Burano	42.366667	11.316667	0.0072
Giglio	42.353631	10.901604	21.54
Montecristo	42.337762	10.308529	10.43
Giannutri	42.252801	11.100881	2.39
