aggregated from the Excel ffiile attached to the article																				
Family	Genus	species	SpeciesNo	Mc	Na	Yo	Ch	An	Ot	Ni	Hg	Mi	Hy	Ha	Hi	Mk	Ae	Me	Im	period
Enidae	Boninena	callistoderma	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	historical
Enidae	Boninena	chichijimana	2	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	historical
Succinidae	Boninosuccinea	punctulispira	3	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	historical
Succinidae	Boninosuccinea	ogasawarae	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Achatinellidae	Elasmias	kitaiwojimanum	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Vertigidae	Gastrocopa	boninensis	6	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	historical
Vertigidae	Gastrocopa	ogasawarana	7	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	historical
Vertigidae	Gastrocopa	chichijimana	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	historical
Vitrinidae	Hawaiia	minuscula	9	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	diplomphalus	10	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	chichijimana	11	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	operculina	12	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	hyplica	13	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	nesiotica	14	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	latispire	15	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Hirasea	profundispira	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Hirasea	goniobasis	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Hirasea	major	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Hirasea	liobasis	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Hirasiella	clara	20	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Achatinellidae	Lamellidea	ogasawarana	21	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	historical
Achatinellidae	Lamellidea	sp	22	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Achatinellidae	Lamellidea	monodonta	23	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	historical
Achatinellidae	Lamellidea	nakadai	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Lamprocystis	hahajimana	25	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	historical
Euconulidae	Liardtia	boninensis	26	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	historical
Bradybaenidae	Mandarina	hirasei	27	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	historical
