Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Native Status,Invasive
ABES,,Abelmoschus esculentus,"USA+(PR, VI), USA(CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)",L48(I)PR(I)VI(I),SWSS
ABES,HIES,Hibiscus esculentus,,,
ABMA9,,Abelmoschus manihot,USA(PW),L48(I),
ABMA9,HIMA9,Hibiscus manihot,,,
ABMO,,Abelmoschus moschatus,"USA+(PR), USA(HI, PW)",L48(I)HI(I)PR(I),
ABMO,HIAB,Hibiscus abelmoschus,,,
ABBAB,,Abies balsamea var. balsamea,"CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV)",L48(N)CAN(N)SPM(N),
ABBAB,PIBA3,Pinus balsamea,,,
ABBR,,Abies bracteata,USA(CA),L48(N),
ABBR,ABVE,Abies venusta,,,
ABFR,,Abies fraseri,"USA(GA, NC, TN, VA)",L48(N),
ABFR,PIFR,Pinus fraseri,,,
ABLAA,,Abies lasiocarpa var. arizonica,"USA(AZ, CO, NM)",L48(N),
ABLAA,ABAR2,Abies arizonica,,,
ABLAL,,Abies lasiocarpa var. lasiocarpa,"CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",L48(N)AK(N)CAN(N),
ABLAL,ABBAF,Abies balsamea var. fallax,,,
ABLAL,ABBAL,Abies balsamea ssp. lasiocarpa,,,
ABLAL,ABBI3,Abies bifolia,,,
ABLAL,ABLAB,Abies lasiocarpa ssp. bifolia,,,
ABLAL,ABLAB2,Abies lasiocarpa var. bifolia,,,
ABLAL,ABSU,Abies subalpina,,,
ABPR,,Abies procera,"USA(CA, OR, WA)",L48(N),
ABPR,ABNO,Abies nobilis,,,
ABAB70,,Abietinella abietina,USA(NJ),NA(N),
ABAB70,HYAB,Hypnum abietinum,,,
ABAB70,THAB70,Thuidium abietinum,,,
ABOV,,Abildgaardia ovata,"USA+(PR, VI), USA(FL, PW)",L48(N)PR(N)VI(N),
ABOV,ABMO4,Abildgaardia monostachya,,,
ABOV,CYMO10,Cyperus monostachyos,,,
ABOV,FIMO2,Fimbristylis monostachya,,,
ABOV,FIOV,Fimbristylis ovata,,,
ABAM3,,Abronia ammophila,USA(WY),L48(N),
ABAM3,ABFE,Abronia fendleri,,,
ABAN,,Abronia angustifolia,"USA(AZ, NM, TX)",L48(N),
ABAN,ABANA,Abronia angustifolia var. arizonica,,,
ABAN,ABTO,Abronia torreyi,,,
ABEL,,Abronia elliptica,"USA(AZ, CO, NM, NV, UT, WY)",L48(N),
ABEL,ABFRE2,Abronia fragrans var. elliptica,,,
ABEL,ABPU2,Abronia pumila,,,
ABEL,ABRA,Abronia ramosa,,,
ABEL,ABSA3,Abronia salsa,,,
ABTU,,Abronia turbinata,"USA(CA, NV, OR)",L48(N),
ABTU,ABEX,Abronia exalata,,,
ABTU,ABOR2,Abronia orbiculata,,,
ABUMB,,Abronia umbellata ssp. breviflora,"CAN(BC), USA(CA, OR, WA)",L48(N)CAN(N),
ABUMB,ABAC,Abronia acutalata,,,
ABUMB,ABBR2,Abronia breviflora,,,
ABUMB,ABUMA2,Abronia umbellata ssp. acutalata,,,
ABUMB,ABUMA3,Abronia umbellata var. acutalata,,,
ABUMU,,Abronia umbellata ssp. umbellata,USA(CA),L48(N),
ABUMU,ABAL2,Abronia alba,,,
ABUMU,ABPL,Abronia platyphylla,,,
ABUMU,ABUMA4,Abronia umbellata ssp. alba,,,
ABUMU,ABUMP,Abronia umbellata ssp. platyphylla,,,
ABUMU,ABUMV,Abronia umbellata ssp. variabilis,,,
ABUMU,ABVA,Abronia variabilis,,,
ABVIA,,Abronia villosa var. aurita,"USA(AZ, CA)",L48(N),
ABVIA,ABPI2,Abronia pinetorum,,,
ABBE2,,Abrothallus bertianus,,NA(N),
ABBR3,,Abrothallus bryoriarum,,NA(N),
ABCE,,Abrothallus cetrariae,,NA(N),
ABCL,,Abrothallus cladoniae,,NA(N),
ABPA5,,Abrothallus parmeliarum,,NA(N),
ABPA5,BUPA8,Buelliella parmeliarum,,,
ABPE2,,Abrothallus peyritschii,,NA(N),
ABPR5,,Abrothallus prodiens,,NA(N),
ABWE,,Abrothallus welwitschii,,NA(N),
ABPR3,,Abrus precatorius,"USA+(PR, VI), USA(AL, AR, FL, GA, HI, PW)",L48(I)HI(I)PR(I)VI(I),FLEPPC
ABPR3,ABAB2,Abrus abrus,,,
ABSP,,Absconditella sphagnorum,,NA(N),
ABTR3,,Absconditella trivialis,,NA(N),
ABAB,,Abutilon abutiloides,"USA+(PR, VI), USA(AZ, TX)",L48(N)PR(N)VI(I),
ABAB,ABAM5,Abutilon americanum,,,
ABAB,ABJA,Abutilon jacquinii,,,
ABAB,ABLI,Abutilon lignosum,,,
ABBE,,Abutilon berlandieri,USA(TX),L48(N),
ABBE,ABCA2,Abutilon californicum,,,
ABFR3,,Abutilon fruticosum,"USA(AR, OK, TX)",L48(N),
ABFR3,ABTE,Abutilon texense,,,
ABHU,,Abutilon hulseanum,"USA+(PR), USA(FL, LA, TX)",L48(N)PR(N),
ABHU,ABCO2,Abutilon commutatum,,,
ABHU,ABPA4,Abutilon pauciflorum,,,
ABIN,,Abutilon incanum,"USA(AZ, CO, HI, NM)",L48(N)HI(N),
ABIN,ABINI,Abutilon incanum ssp. incanum,,,
ABIN,ABINP,Abutilon incanum ssp. pringlei,,,
ABIN,ABPR4,Abutilon pringlei,,,
ABMO2,,Abutilon mollicomum,"USA(AZ, NM, TX)",L48(N),
ABMO2,ABSO,Abutilon sonorae,,,
ABSA2,,Abutilon sandwicense,USA(HI),HI(N),
ABSA2,ABSA4,Abortopetalum sandwicense,,,
ABSA2,ABSAW,Abutilon sandwicense var. welchii,,,
ABTH,,Abutilon theophrasti,"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",L48(I)CAN(I),"KY, N'EAST, NE&GP, STATE, SWSS, WSWS"
ABTH,ABAB3,Abutilon abutilon,,,
ABTH,ABAV,Abutilon avicennae,,,
ABTR,,Abutilon trisulcatum,USA(TX),L48(N),
ABTR,ABTR2,Abutilon triquetrum,,,
ACAB2,,Acacia abyssinica,,,
ACAC7,,Acacia acinacea,,,
ACAC7,ACCY3,Acacia cyclophylla,,,
ACAD,,Acacia adunca,,,
ACAD,ACAC6,Acacia accola,,,
ACAN4,,Acacia anegadensis,,,
ACAN,,Acacia angustissima,"USA (AR, AZ, FL, KS, LA, MO, NM, OK, TX)",L48(N),
ACAR12,,Acacia arenaria,,,
ACBE,,Acacia berlandieri,USA (TX),L48(N),
ACCA21,,Acacia catechu,,,
ACCA35,,Acacia caven,,,
ACCH8,,Acacia chinchillensis,,,
ACCH8,ACCH7,Acacia chinchellensis,,,
ACCH,,Acacia choriophylla,USA (FL),L48(N),
ACCI6,,Acacia cibaria,,,
ACCI6,ACBR4,Acacia brachystachya,,,
ACCO24,,Acacia collinsii,,,
ACCO2,,Acacia constricta,"USA (AZ, MD, NM, TX, VA)",L48(N),
ACCO5,,Acacia cornigera,USA (FL),L48(I),
ACDA5,,Acacia davyi,,,
ACDEP2,,Acacia deanei ssp. paucijuga,,,
ACDEP2,ACPA10,Acacia paucijuga,,,
ACDE,,Acacia decurrens,USA(CA),L48(I),
ACDE,MIDE17,Mimosa decurrens,,,
ACEB2,,Acacia eburnea,,,
ACER5,,Acacia erubescens,,,
ACFA,,Acacia farnesiana,"USA (AL, AZ, CA, FL, GA, HI, LA, MS, NM, TX, UM), USA+ (PR, VI)",L48(N)HI(I)PR(N)VI(N),HEAR
ACGA3,,Acacia galpinii,,,
ACGE8,,Acacia genistifolia,,,
ACGE8,ACDI9,Acacia diffusa,,,
ACGE7,,Acacia gerrardii,,,
ACGL4,,Acacia glauca,,,
ACGO2,,Acacia goetzei,,,
ACGR,,Acacia greggii,"USA (AZ, CA, NM, NV, TX, UT)",L48(N),
ACHE8,,Acacia hebeclada,,,
ACHE12,,Acacia hemiteles,,,
ACHE12,ACGR10,Acacia graffiana,,,
ACHO4,,Acacia horrida,,,
ACKA2,,Acacia karroo,,,
ACKO,,Acacia koa,USA(HI),HI(N),
ACKO,ACKA,Acacia kauaiensis,,,
ACKO,ACKOH,Acacia koa var. hawaiiensis,,,
ACKO,ACKOL,Acacia koa var. lanaiensis,,,
ACKO,ACKOW,Acacia koa var. waimeae,,,
ACLA10,,Acacia lanuginophylla,,,
ACLA10,ACLA11,Acacia lanuginosa,,,
ACLO,,Acacia longifolia,USA(CA),L48(I),
ACLO,ACLA,Acacia latifolia,,,
ACLO8,,Acacia longissima,,,
ACLO8,ACLI4,Acacia linearis,,,
ACMA,,Acacia macracantha,"USA (FL, GA, NM), USA+ (PR, VI)",L48(N)PR(N)VI(N),
ACME8,,Acacia mellifera,,,
ACMI,,Acacia millefolia,"USA (AZ, NM)",L48(N),
ACMU,,Acacia muricata,"USA+ (PR, VI)",PR(N)VI(N),
ACNE4,,Acacia neovernicosa,"USA (AZ, NM, TX)",L48(N),
ACNI8,,Acacia nigrescens,,,
ACNI2,,Acacia nilotica,"USA+ (PR, VI)",PR(I)VI(I),
ACOM,,Acacia omalophylla,,,
ACOM,ACHO3,Acacia homalophylla,,,
ACPA15,,Acacia pachyceras,,,
ACPA16,,Acacia papyrocarpa,,,
ACPA16,ACSO3,Acacia sowdenii,,,
ACPA8,,Acacia paradoxa,USA(CA),L48(I),STATE
ACPA8,ACAR15,Acacia armata,,,
ACPE9,,Acacia pennatula,,,
ACPE11,,Acacia pentagona,,,
ACPI,,Acacia pinetorum,USA (FL),L48(N),
ACPO3,,Acacia polyacantha,"USA+ (PR, VI)",PR(I)VI(I),
ACRE8,,Acacia rehmanniana,,,
ACRE4,,Acacia retusa,"USA+ (PR, VI)",PR(N)VI(N),
ACRI,,Acacia rigidula,USA (TX),L48(N),
ACRO5,,Acacia robusta,,,
ACRO,,Acacia roemeriana,"USA (NM, TX)",L48(N),
ACSA,,Acacia saligna,USA(CA),L48(I),
ACSA,ACCY,Acacia cyanophylla,,,
ACSC2,,Acacia schaffneri,USA (TX),,
ACSC,,Acacia schottii,USA (TX),L48(N),
ACSC9,,Acacia schweinfurthii,,,
ACSC12,,Acacia scleroxyla,,,
ACSE6,,Acacia senegal,,,
ACSE7,,Acacia seyal,,,
ACSI7,,Acacia sieberiana,,,
ACSP4,,Acacia sphaerocephala,USA (FL),L48(I),
ACST8,,Acacia stowardii,,,
ACST8,ACCL2,Acacia clivicola,,,
ACSU11,,Acacia sublanata,,,
ACSU11,ACLU2 ,Acacia luehmannii,,,
ACSW2,,Acacia swazica,,,
ACTO6,,Acacia tortilis,,,
ACTO,,Acacia tortuosa,"USA (FL), USA+ (PR, VI)",L48(N)PR(N)VI(N),
ACUL2,,Acacia ulicifolia,,,
ACUL2,ACJU2,Acacia juniperina,,,
ACVI7,,Acacia victoriae,,,
ACVI7,ACSE9,Acacia sentis,,,
ACVI10,,Acacia visco,,,
ACVO,,Acacia vogeliana,"USA+ (PR, VI)",PR(N)VI(N),
ACWI2,,Acacia willardiana,,,
ACXA3,,Acacia xanthophloea,,,
ACNO7,,Acaena novae-zelandiae,"USA(CA, OR)",L48(I),
ACNO7,ACAN3,Acaena anserinifolia,,,
ACNO7,ACNO4,Acaena novae-zelandica,,,STATE
ACNO7,ACSA4,Acaena sanguisorbae,,,
ACPIC2,,Acaena pinnatifida var. californica,USA(CA),L48(N),
ACPIC2,ACCA2,Acaena californica,,,
ACAL2,,Acalypha alopecuroidea,"USA+(PR), USA(AL, FL, LA)",L48(I)PR(N),
ACAL2,ACAR17,Acalypha aristata,,,
ACAR16,,Acalypha arvensis,USA(FL),L48(I),
ACAR16,ACAR19,Acalypha aristata,,,
ACCA3,,Acalypha californica,"USA(AZ, CA)",L48(N),
ACCA3,ACPR,Acalypha pringlei,,,
ACMO,,Acalypha monostachya,USA(TX),L48(N),
ACMO,ACHE,Acalypha hederacea,,,
ACOS,,Acalypha ostryifolia,"USA+(PR, VI), USA(AL, AR, AZ, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WV)",L48(N)PR(N)VI(N),"KY, SWSS"
ACOS,ACCA8,Acalypha caroliniana,,,
ACPH3,,Acalypha phleoides,"USA(AZ, NM, TX)",L48(N),
ACPH3,ACLI,Acalypha lindheimeri,,,
ACPH3,ACLIM,Acalypha lindheimeri var. major,,,
ACPO,,Acalypha poiretii,"USA+(PR, VI), USA(AL, NJ, TX)",L48(N)PR(I)VI(I),
ACPO,ACIN,Acalypha indica,,,
ACSPS2,,Acamptopappus sphaerocephalus var. sphaerocephalus,"USA(AZ, CA, NV, UT)",L48(N),
ACSPS2,APSP2,Aplopappus sphaerocephalus,,,
ACTE4,,Acanthocereus tetragonus,"USA+(VI), USA(FL, HI, TX)",L48(N)HI(I)VI(N),
ACTE4,ACFL3,Acanthocereus floridanus,,,
ACTE4,ACPE5,Acanthocereus pentagonus,,,
ACTE4,CATE30,Cactus tetragonus,,,
ACTE4,CEPE4,Cereus pentagonus,,,
ACAU2,,Acanthospermum australe,"USA(AL, AR, FL, GA, HI, LA, MA, MS, NC, NY, OR, PA, SC, TN, TX, VA)",L48(I)HI(I),
ACAU2,ACXA,Acanthospermum xanthioides,,,
ACAU2,MEAU,Melampodium australe,,,
ACHU,,Acanthospermum humile,"USA(AL, FL, NY, SC)",L48(I),
ACHU,MEHU5,Melampodium humile,,,
ACPOP,,Acanthus polystachyus var. pseudopubescens,,,
ACPOP,ACPU4,Acanthus pubescens,,,
ACAE,,Acarospora aeruginosa,,NA(N),
ACAL13,,Acarospora albomarginata,,NA(N),
ACAL13,THAL6,Thelocarpon albomarginatum,,,
ACAM5,,Acarospora americana,,NA(N),
ACAM7,,Acarospora amphibola,,NA(N),
ACAP,,Acarospora applanata,,NA(N),
ACAR8,,Acarospora arenacea,,NA(N),
ACAR9,,Acarospora arenosa,,NA(N),
ACAS3,,Acarospora asahinae,,NA(N),
ACAS4,,Acarospora asperata,,NA(N),
ACBA4,,Acarospora badiofusca,,NA(N),
ACBA4,ACBO2,Acarospora boulderensis,,,
ACBU2,,Acarospora bullata,,NA(N),
ACCA14,,Acarospora caesiofusca,,NA(N),
ACCA15,,Acarospora californica,,NA(N),
ACCA16,,Acarospora canadensis,,NA(N),
ACCA17,,Acarospora carnegiei,,NA(N),
ACCE,,Acarospora cervina,,NA(N),
ACCI2,,Acarospora cinereoalba,,NA(N),
ACCI4,,Acarospora citrina,,NA(N),
ACCL6,,Acarospora clauzadeana,,NA(N),
ACCL6,BICL2,Biatorella clauzadeana,,,
ACCO10,,Acarospora coloradiana,,NA(N),
ACCO11,,Acarospora complanata,,NA(N),
ACCO11,ACOB6,Acarospora obscura,,,
ACDE9,,Acarospora desolata,,NA(N),
ACDI4,,Acarospora dispersa,,NA(N),
ACEL2,,Acarospora elevata,,NA(N),
ACFU2,,Acarospora fuscata,,NA(N),
ACFU2,ACCA19,Acarospora cartilaginea,,,
ACFU2,ACSQ2,Acarospora squamulosa,,,
ACFU3,,Acarospora fuscescens,,NA(N),
ACGA2,,Acarospora gallica,,NA(N),
ACGE4,,Acarospora geogena,,NA(N),
ACGE4,ACGE6,Acarospora geophila,,,
ACGL2,,Acarospora glaucocarpa,,NA(N),
ACHA3,,Acarospora hassei,,NA(N),
ACHE6,,Acarospora heppii,,NA(N),
ACHE7,,Acarospora heufleriana,,NA(N),
ACHI6,,Acarospora hilaris,,NA(N),
ACIM2,,Acarospora immersa,,NA(N),
ACIM3,,Acarospora impressula,,NA(N),
ACIN5,,Acarospora instrata,,NA(N),
ACIN6,,Acarospora interjecta,,NA(N),
ACIN7,,Acarospora interposita,,NA(N),
ACIN8,,Acarospora interspersa,,NA(N),
ACMA10,,Acarospora macrospora,,NA(N),
ACMA10,ACSQ,Acarospora squamulosa,,,
ACMO6,,Acarospora molybdina,,NA(N),
ACNE7,,Acarospora nevadensis,,NA(N),
ACNI6,,Acarospora nigromarginata,,NA(N),
ACNI7,,Acarospora nitida,,NA(N),
ACNO6,,Acarospora nodulosa,,NA(N),
ACOB4,,Acarospora obnubila,,NA(N),
ACOB5,,Acarospora obpallens,,NA(N),
ACOL,,Acarospora oligospora,,NA(N),
ACOL,ACGL3,Acarospora glebosa,,,
ACPA7,,Acarospora particularis,,NA(N),
ACPE6,,Acarospora peliscypha,,NA(N),
ACPE7,,Acarospora peltastica,,NA(N),
ACPY2,,Acarospora pyrenopsoides,,NA(N),
ACRA4,,Acarospora radicata,,NA(N),
ACRE7,,Acarospora reagens,,NA(N),
ACRE7,ACNOR,Acarospora nodulosa var. reagens,,,
ACRU5,,Acarospora rugulosa,,NA(N),
ACRU5,ACMO7,Acarospora montana,,,
ACSA6,,Acarospora saepincola,,NA(N),
ACSC4,,Acarospora scabrida,,NA(N),
ACSC5,,Acarospora schleicheri,"USA(ID, NV)",NA(N),
ACSC5,ACAL14,Acarospora albida,,,
ACSC5,ACAM6,Acarospora amabilis,,,
ACSC5,ACBE5,Acarospora bella,,,
ACSC5,ACCH4,Acarospora chrysops,,,
ACSC5,ACCO13,Acarospora contigua,,,
ACSC5,ACDI5,Acarospora dissipata,,,
ACSC5,ACEP,Acarospora epilutescens,,,
ACSC5,ACEV,Acarospora evoluta,,,
ACSC5,ACIN10,Acarospora intercedens,,,
ACSC5,ACOC2,Acarospora ocellata,,,
ACSC5,ACRH2,Acarospora rhabarbarina,,,
ACSC5,ACRI5,Acarospora rimulosa,,,
ACSC5,ACRU6,Acarospora rubicunda,,,
ACSC5,ACSU7,Acarospora subalbida,,,
ACSC5,ACSU8,Acarospora subcontigua,,,
ACSC5,ACXA2,Acarospora xanthophana,,,
ACSC6,,Acarospora scotica,,NA(N),
ACSI4,,Acarospora sinopica,,NA(N),
ACSM2,,Acarospora smaragdula,,NA(N),
ACSM2,ACRU7,Acarospora rufescens,,,
ACSO2,,Acarospora socialis,,NA(N),
ACSP6,,Acarospora sparsa,,NA(N),
ACST2,,Acarospora stapfiana,,NA(N),
ACST3,,Acarospora strigata,,NA(N),
ACSU5,,Acarospora succedens,,NA(N),
ACSU6,,Acarospora superfusa,,NA(N),
ACTE5,,Acarospora tenebrica,,NA(N),
ACTE6,,Acarospora terricola,,NA(N),
ACTH4,,Acarospora thamnina,,NA(N),
ACTH5,,Acarospora thelococcoides,,NA(N),
