extraction of the table 1 from List of U.S. state and territory abbreviations Wikipedia article (https://en.wikipedia.org/wiki/List_of_U.S._state_and_territory_abbreviations#Table) + exraction of table 1 https://en.wikipedia.org/wiki/List_of_state_capitols_in_the_United_States for Location										
Name of region	Status of region	ISO	ANSI	ANSI	USPS	USCG	GPO	AP	Otherabbreviations	Location
Alabama	State	US-AL	AL	1	AL	AL	Ala.	Ala.		Montgomery32°22?38.81?N 86°18?3.39?W? / ?32.3774472°N 86.3009417°W 32°22?37.294?N 86°17?57.991?W? / ?32.37702611°N 86.29944194°W
Alaska	State	US-AK	AK	2	AK	AK	Alaska	Alaska	Ak.[1]	Juneau58°18?7.91?N 134°24?37.68?W? / ?58.3021972°N 134.4104667°W
Arizona	State	US-AZ	AZ	4	AZ	AZ	Ariz.	Ariz.		Phoenix33°26?53.15?N 112°5?49.54?W? / ?33.4480972°N 112.0970944°W
Arkansas	State	US-AR	AR	5	AR	AR	Ark.	Ark.		Little Rock34°44?48.33?N 92°17?19.54?W? / ?34.7467583°N 92.2887611°W
California	State	US-CA	CA	6	CA	CF	Calif.	Calif.	Cal. or Ca	Sacramento38°34?35.66?N 121°29?36.28?W? / ?38.5765722°N 121.4934111°W
Colorado	State	US-CO	CO	8	CO	CL	Colo.	Colo.		Denver39°44?20.74?N 104°59?5.63?W? / ?39.7390944°N 104.9848972°W
Connecticut	State	US-CT	CT	9	CT	CT	Conn.	Conn.		Hartford41°45?50.89?N 72°40?58?W? / ?41.7641361°N 72.68278°W
Delaware	State	US-DE	DE	10	DE	DL	Del.	Del.		Dover39°9?26.3?N 75°31?11?W? / ?39.157306°N 75.51972°W
District of Columbia	Federal district	US-DC	DC	11	DC	DC	D.C.	D.C.	Dis. Col.[2]	38°53?23.3?N 77°00?32.6?W
Florida	State	US-FL	FL	12	FL	FL	Fla.	Fla.		Tallahassee30°26?17.2?N 84°16?53.76?W? / ?30.438111°N 84.2816000°W
Georgia	State	US-GA	GA	13	GA	GA	Ga.	Ga.	Geo.[1]	Atlanta33°44?57.38?N 84°23?17.74?W? / ?33.7492722°N 84.3882611°W
Hawaii	State	US-HI	HI	15	HI	HA	Hawaii	Hawaii	Hi.[1]	Honolulu21°18?26.43?N 157°51?26.16?W? / ?21.3073417°N 157.8572667°W
Idaho	State	US-ID	ID	16	ID	ID	Idaho	Idaho	Ida.[1]	Boise43°37?3.71?N 116°11?58.61?W? / ?43.6176972°N 116.1996139°W
Illinois	State	US-IL	IL	17	IL	IL	Ill.	Ill.	"Ills., Ill's"	Springfield39°47?54.66?N 89°39?17.6?W? / ?39.7985167°N 89.654889°W
Indiana	State	US-IN	IN	18	IN	IN	Ind.	Ind.		Indianapolis39°46?7?N 86°9?45?W? / ?39.76861°N 86.16250°W
Iowa	State	US-IA	IA	19	IA	IA	Iowa	Iowa	Ioa.[a]	Des Moines41°35?28.24?N 93°36?13.93?W? / ?41.5911778°N 93.6038694°W
Kansas	State	US-KS	KS	20	KS	KA	Kans.	Kan.	Ka.	Topeka39°2?52.83?N 95°40?41.36?W? / ?39.0480083°N 95.6781556°W
Kentucky	State	US-KY	KY	21	KY	KY	Ky.	Ky.	"Ken., Kent.[b]"	Frankfort38°11?12.4?N 84°52?31.2?W? / ?38.186778°N 84.875333°W
Louisiana	State	US-LA	LA	22	LA	LA	La.	La.		Baton Rouge30°27?25.46?N 91°11?14.66?W? / ?30.4570722°N 91.1874056°W
Maine	State	US-ME	ME	23	ME	ME	Maine	Maine		Augusta44°18?26.05?N 69°46?54.04?W? / ?44.3072361°N 69.7816778°W
Maryland	State	US-MD	MD	24	MD	MD	Md.	Md.	"Mar., Mary."	Annapolis38°58?43?N 76°29?28?W? / ?38.97861°N 76.49111°W
Massachusetts	State	US-MA	MA	25	MA	MS	Mass.	Mass.		Boston42°21?27.75?N 71°3?48.83?W? / ?42.3577083°N 71.0635639°W
Michigan	State	US-MI	MI	26	MI	MC	Mich.	Mich.		Lansing42°44?1.42?N 84°33?20.12?W? / ?42.7337278°N 84.5555889°W
Minnesota	State	US-MN	MN	27	MN	MN	Minn.	Minn.		Saint Paul44°57?18.53?N 93°6?8.05?W? / ?44.9551472°N 93.1022361°W
Mississippi	State	US-MS	MS	28	MS	MI	Miss.	Miss.		Jackson32°18?14?N 90°10?56?W? / ?32.30389°N 90.18222°W
Missouri	State	US-MO	MO	29	MO	MO	Mo.	Mo.		Jefferson City38°34?44.83?N 92°10?22.77?W? / ?38.5791194°N 92.1729917°W
Montana	State	US-MT	MT	30	MT	MT	Mont.	Mont.		Helena46°35?8.52?N 112°1?6.24?W? / ?46.5857000°N 112.0184000°W
Nebraska	State	US-NE	NE	31	NE	NB	Nebr.	Neb.		Lincoln40°48?29.12?N 96°41?58.51?W? / ?40.8080889°N 96.6995861°W
Nevada	State	US-NV	NV	32	NV	NV	Nev.	Nev.		Carson City39°9?50.67?N 119°45?58.65?W? / ?39.1640750°N 119.7662917°W
New Hampshire	State	US-NH	NH	33	NH	NH	N.H.	N.H.		Concord43°12?24.29?N 71°32?17.26?W? / ?43.2067472°N 71.5381278°W
New Jersey	State	US-NJ	NJ	34	NJ	NJ	N.J.	N.J.	N. Jersey[2]	Trenton40°13?13.57?N 74°46?11.65?W? / ?40.2204361°N 74.7699028°W
