extracted from Corke et al 1992 manuscript with tabula							
Species	Dominica	Martinique	St Lucia	St Vincent	Grenadines	Grenada	Barbados
A M P H I B I A							
Total  species	2	4	3	4	1	3	2
Total  nat ives	2	3	2	3	1	2	1
Total  endemics	.	. .	.	.	.		
Tota l  in t roduc t ions	- -	1	1	1	- -	1	1
Tota l  ext inct ions	- -	1	.	. .	.	.	
Ext inct  endemics	.	.	.	.	.	.	.
Cane  toad							
Bufo  marinus	- -	I	I	I	- -	I	I
Tree f rogs							
Eleutherodactylus  johnstonei	-	t	t	t	- -	t	t
E. martinicensis	t	t	.	.	.	.	.
E. urichi	- -	- -	- -	:~(1)	- -	:~(1)	- -
Ololygon  rubra	- -	- -	~	.	.	.	.
F o a m - n e s t i n g  frogs							
Lep todac ty lus  fa l lax	t	[t]	.	. .	.	.	
L. wagneri	- -	- -	- -	~	~	~	- -
R E P T I L E S							
Tota l  species	14	12	17	12	11	15	10
To ta l  nat ives	12	11	14	11	9	13	8
To ta l  endemics	2	5	5	3	- -	1	3
Tota l  i n t roduc t ions	2	1	3	1	2	2	2
Tota l  ext inc tions	- -	3	1	- -	- -	2	2
Ext inct  endemics	- -	2	.	. .	.	.	
Tor to ise							
Geochelone  carbonaria	I	- -	- -	- -	I	I	[I]
G e c k o s							
Hemidacty lus  mabouia	I	I	I	I	I	I	I
H. palaichthus	- -	- -	~	.	.	.	.
Phyl lodactylus  pulcher	.	. .	.	. .			*
Sphaerodacty lus  fantas t icus	t (1)	.	.	.	.	.	.
S. microlepis	- -	- -	* (2)	.	.	.	.
S. vincenti	t (1)	t (4)	t (1)	t (1)	- -	- -	- -
Thecadactylus  rapicauda	~	~	~	~	~	~	- -
Tree lizards							
A n o l i s  ( =  D a c t y l o a )a e n e u s	.	.	.	.	t	t	- -
A .  e x t r e m u s	- -	- -	I	- -	- -	- -	*
A .  g r i s e u s	- -	- -	- -	*	- -	- -	- -
A .  l u c i a e	- -	- -	*	.	. .	.	
A .  r i c h a r d i	.	.	.	.	t	t	- -
A .  r o q u e t	- -	* (6)	.	.	.	.	.
",4. t r i n i t a t i s"	- -	- -	- -	*	- -	- -	- -
A .  w a t t s i	- -	- -	I	.	. .	.	
A n o l i s  ( =  C t e n o t u s )o c u l a t u s	* (4)	.	.	.	. .	.	.
Iguanas							
l g u a n a  d e l i c a t i s s i m a	t	t	.	.	.	.	.
I .  i g u a n a	- -	- -	:~	:~	:~	:~	[:~]
Ground l izard-- iguanid							
L e i o c e p h a l u s  h e r m i n i e r i	- -	[*]	.	.	.	.	.
Ground lizards--teiids							
", 4 m e i v a  a m e i v a"	- -	- -	- -	:~	~	~	- -
A .  f u s c a t a	*	.	.	.	.	.	.
A .  m a j o r	- -	[*]	.	.	.	.	.
C n e m i d o p h o r u s  v a n z o i	- -	- -	{*}	.	. .	.	.
K e n t r o p y x  b o r c k i a n a( =  b o r k i a n u s )	.	. .	.	.	.		:~
"Small, burrowing groundlizards"							
B a c h i a  h e t e r o p u s	.	.	.	.	~	~	- -
G y m n o p t h a l m u s  p l e e i( = p l e i i )	t	t (1)	t (1)	.	. .	.	
G. u n d e r w o o d i	- -	- -	- -	t	- -	- -	+
Skink							
M a b u y a  m a b o u y a	~	[:~]	:~	~	~:	~	:~
Worm snakes							
L e p t o t y p h l o p s  b i l i n e a t a	- -	t	t	- -	- -	- -	t
T y p h l o p s  d o m i n i c a n a	t (1)	.	.	.	. .	.	.
T. t a s y m i c r i s	.	. .	.	.		*	
Boas							
B o a  c o n s t r i c t o r	t (1 )	- -	t (1 )	.	. .	.	
C o r a l l u s  e n y d r i s	- -	- -	- -	~	~	~	- -
Colubrid snakes							
A l s o p h i s  a n t i l l e n s i s	t (1)	.	.	.	. .	.	.
C h i r o n i u s  v i n c e n t i	- -	- -	- -	*	- -	- -	- -
C l e l i a  sp. (see text)	- -	- -	[:~]	- -	- -	:~ (1)	- -
L i o p h i s  c u r s o r	- -	{ * }	- -	.	. .	.	
L .  j u l i a e	t (1 )	.	.	.	.	.	.
L .  m e l a n o t u s	.	.	.	.		[~]	.
L .  o r n a t u s	- -	- -	{*}	.	. .	.	
L .  p e r f u s c u s	.	. .	.	.	.		*
M a s t i g o d r y a s  b r u e s i	- -	- -	- -	t	t	t	- -
P s e u d o b o a  n e u w i e d i	.	. .	.	.	.	[:~]	.
Pit vipers							
B o t h r o p s  c a r i b b e a	- -	- -	*	.	. .	.	.
Bothrops  lanceota	.	*	.	.	.	.	
