extracted with tabula (autodeection of tables works better,,,,,,,,,,,,,
species,common name,1947-1962;Lower Kansas River Basin,1963-1977;Lower Kansas River Basin,1978-1990;Lower Kansas River Basin,1991-2003;Lower Kansas River Basin,1947-1962;Smoky Hill,1963-1977;Smoky Hill,1978-1990;Smoky Hill,1991-2003;Smoky Hill,1947-1962;Arkansas Basin,1963-1977;Arkansas Basin,1978-1990;Arkansas Basin,1991-2003;Arkansas Basin
Ameiurus melas,Black bullhead,19.0a,7.7b,"13a,b",29.7a,36.4,30.8,50,34.7,32.4,21.7,22.5,31.6
Ameiurus natalis,Yellow,7.6a,3.8a,4.3a,40.5b,4.5,0,7.7,8.2,2.9a,8.7a,9.9a,33b
Aplodinotus grunniens,Freshwater drum,7.6a,11.5a,20.3b,"9.9a,b",4.5,0,11.5,13.6,0.0a,"4.3a,b","5.6a,b",16.8b
Campostoma anomalum,Central stoneroller,50.6a,46.2a,46.4a,78.4b,68.2a,53.8a,53.8b,63.9a,52.9,34.8,40.8,38.6
Carassius auratus,GoldfishINTRO(ALL),"0
","0
","0
","0
",0,0,0,1.4,0.0a,13.0b,"1.4a,b","9.5a,b"
Carpiodes carpio,River carpsucker,"29.1a,b",25a,39.1b,"33.3a,b",31.8,15.4,11.5,15,26.5a,"39.1a,b",18.3b,33.8b
Carpiodes cyprinus,QuillbackINTRO(ALL),0.0a,1.9b,24.6b,2.3a,"0
","0
","0
","0
",0.0a,17.4b,"4.2a,b","13.8a,b"
Catostomus commersonii,White sucker,19,23.1,24.6,35.6,22.7a,0b,"7.7a,b","8.2a,b",0,0,0,0.8
Ctenopharyngodon idella,Grass carpINTRO(ALL),"0
","0
","0
","0
","0
","0
","0
","0
",0,0,0,3.2
Cycleptus elongatus,Blue sucker,1.3,0,1.4,0,"0
","0
","0
","0
","0
","0
","0
","0
"
Cyprinella camura,Bluntface shiner,"0
","0
","0
","0
","0
","0
","0
","0
",2.9,0,1.4,3.2
Cyprinella lutrensis,Red shiner,58.2a,71.2a,75.4a,94.1b,100a,76.9b,73.1b,"85a,b",91.2a,65.2b,87.3a,92.2a
Cyprinus carpio,Common carpINTRO(ALL),25.3a,3.8b,11.6b,29.7a,"27.3a,b",7.7a,34.6b,"34a,b",23.5a,21.7a,"33.8a,b",68.1b
