data prepared for article https://doi.org/10.1111/oik.05968
Family,COMMON NAME,Kaua'i,O'ahu,Moloka'i,Lana'i,Maui,Hawai'i,,
CORVIDAE,Hawaiian Crow,,,,,,Native,,
MONARCHIDAE,Kaua'i 'Elepaio,Native,,,,,,,
MONARCHIDAE,O'ahu 'Elepaio,,Native,,,,,,
MONARCHIDAE,Hawai'i 'Elepaio,,,,,,Native,,
ALAUDIDAE,Eurasian Skylark,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
PYCNONOTIDAE,Red-vented Bulbul,,Exotic,Exotic,,Exotic,Exotic,,
PYCNONOTIDAE,Red-whiskered Bulbul,,Exotic,,,,,,
CETTIIDAE,Japanese Bush-Warbler,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
ZOSTROPIDAE,Japanese White-eye,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
TIMALIIDAE,Greater Necklaced Laughingthrush,Exotic,,,,,,,
TIMALIIDAE,Hwamei,Native,Native,,Exotic,Native,Native,,`
TIMALIIDAE,Red-billed Leiothrix, ,Exotic,Exotic,,Exotic,Exotic,,
MUSCICAPIDAE,White-rumped Shama,Exotic,Exotic,Exotic,Exotic,Exotic,,,
TURDIDAE,Kama'o,Extinct,,,,,,,
TURDIDAE,'Amaui,,Extinct,,,,,,
TURDIDAE,Oloma'o,,,Extinct,Extinct,,,,
TURDIDAE,Oma'o,,,,,,Native,,
TURDIDAE,Puaiohi,Native,,,,,,,
MIMIDAE,Northern Mockingbird,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
STURNIDAE,Common Myna,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
MOHOIDAE,Kauai 'O'o,Extinct,,,,,,,
MOHOIDAE,Oahu 'O'o,,Extinct,,,,,,
MOHOIDAE,Bishop's 'O'o,,,Extinct,,,,,
MOHOIDAE,Hawaii 'O'o,,,,,,Extinct,,
MOHOIDAE,Kioea,,,,,,Extinct,,
THRAUPIDAE,Red-crested Cardinal,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
THRAUPIDAE,Yellow-billed Cardinal,,,,,,Exotic,,
THRAUPIDAE,Saffron Finch,,Exotic,,,,Exotic,,
THRAUPIDAE,Yellow-faced Grassquit,,Exotic,,,,,,
CARDINALIDAE,Northern Cardinal,Exotic,Exotic,Exotic,Exotic,Exotic,Exotic,,
ICTERIDAE,Western Meadowlark,Exotic,,,,,,,
FRINGILLIDAE,Po'o-uli,,,,,Extinct,,,
FRINGILLIDAE,'Akikiki,Native,,,,,,,
FRINGILLIDAE,O'ahu 'Alauahio,,Extinct,,,,,,
