species,Anuta,Bellona,Choiseul,Guadalcanal,Kolombangara,Makira,Malaita,Malaupaina,Matema,Mbanika,New Georgia,NEW GEORGIA IS.,NGGELA IS.,Nggela Sule,Nupani,OLU MALAU IS.,Ontong Java Is.,Owaraha,REEF IS.,Rendova,Rennell,Russell Is.,San Jorge,Santa Catalina,Santa Cruz,SANTA CRUZ IS.,Santa Isabel,Savo,Shortland,Sikaiana,Tikopia,Tulagi,Ugi,Vangunu,Vanikoro,Vella Lavella,SOLOMON IS.
Acropyga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. acutiventris x x x x x x x 7,,,,1,,1,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,1,,,,
A. lauta x x x x x x x 7,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,
A. oceanica x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. pallida x 1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelomyrmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. sp. BP02* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. sp. BP03* x x 2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Amblyopone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. australis x x x x 3,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Anochetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. cato x x x x x x x x x x x x 11,,,,,,1,1,1,,,,1,1,1,,1,,,,1,,,,,,,1,,,,,1,1,,,,1
A. graeffei x x x x x x x x x x x x x x 13,,1,,1,,1,1,,,,1,1,1,1,,,,,,,1,,,,1,1,1,,,,,1,,,,,1
A. isolatus x x x x x x x x x 8,,,1,1,,1,,1,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,1
Anonychomyrma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. dimorpha x x x x 3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Anoplolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. gracilipes x x x x x x x x x x x x x x x x x x 18,,1,1,1,1,1,1,,1,,,1,1,,1,,,,1,,1,1,,1,1,1,1,1,,,,,,,,,
Arnoldius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. sp. BP01 x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. pusillus x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachymyrmex 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. obscurior x x x 3,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Camponotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. bedoti,1,1,,1,,,1,,,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,,,,,,1,,,,,
C. chloroticus x x 2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
C. elysii x x x 3,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
C. guppyi x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. loa x x x x x x x x x x 10,,,,,,1,1,1,,,,,1,,,1,,1,,,,,,,1,1,,,,,,1,1,,,,
C. loa belli x x 2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
C. novaehollandiae x x x x 4,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
C. sp. BP01 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. sp. BP02* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. sp. BP04 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. sp. BP05* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. sp. BP06* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C. sp. BP07* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C. sp. BP08* x x 2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C. sp. BP09* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C. sp. BP10* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cardiocondyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. kagutsuchi x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. nivalis x x x x x x x x 8,,,,1,,1,,,,1,,1,,,,,,,,1,1,,,,,,,1,,,,,,,,1,
C. nuda x x x x x 5,,,,1,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,
Carebara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. atoma x x x x x 5,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
C. viehmeyeri x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerapachys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. inconspicuus x x x 2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1
C. pawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
C. terricola x x x x x x x 6,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,1,,,,,1,,,,,1
C. sp. BP01* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Colobostruma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. foliacea x x x x x x 6,,,1,1,,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,
