"This table was copied by hand from Appendix 3 of 'Checklist of the ants (Hymenoptera, Formicidae) of the Solomon Islands and a new survey of Makira Island'. Guadalcanal, Makira, Malaupair, Rendova, Rennel, Russel, Tulagi and Ugi had different richness than given in the original table and they were recounted once or twice and not all total richness match the original values.																																							"
"species	Anuta	Bellona	Choiseul	Guadalcanal	Kolombangara	Makira	Malaita	Malaupaina	Matema	Mbanika	New Georgia	NEW GEORGIA IS.	NGGELA IS.	Nggela Sule	Nupani	OLU MALAU IS.	Ontong Java Is.	Owaraha	REEF IS.	Rendova	Rennell	Russell Is.	San Jorge	Santa Catalina	Santa Cruz	SANTA CRUZ IS.	Santa Isabel	Savo	Shortland	Sikaiana	Tikopia	Tulagi	Ugi	Vangunu	Vanikoro	Vella Lavella	SOLOMON IS.		"
"Acropyga																																							"
"A. acutiventris x x x x x x x 7				1		1	1					1								1							1						1						"
"A. lauta x x x x x x x 7				1	1	1	1					1	1														1												7"
"A. oceanica x 1						1																																	1"
"A. pallida x 1					1																																		1"
"Adelomyrmex																																							0"
"A. sp. BP02* x 1						1																																	1"
"A. sp. BP03* x x 2		1																			1																		2"
"Amblyopone																																							0"
"A. australis x x x x 3				1			1					1																									1		4"
"Anochetus																																							0"
"A. cato x x x x x x x x x x x x 11						1	1	1				1	1	1		1				1							1					1	1				1		12"
"A. graeffei x x x x x x x x x x x x x x 13		1		1		1	1				1	1	1	1							1				1	1	1					1					1		14"
"A. isolatus x x x x x x x x x 8			1	1		1		1								1					1				1	1											1		9"
"Anonychomyrma																																							0"
"A. dimorpha x x x x 3						1	1																				1										1		4"
"Anoplolepis																																							0"
"A. gracilipes x x x x x x x x x x x x x x x x x x 18		1	1	1	1	1	1		1			1	1		1				1		1	1		1	1	1	1	1											18"
"Arnoldius																																							0"
"A. sp. BP01 x 1				1																																			1"
"A. pusillus x 1				1																																			1"
"Brachymyrmex 0																																							0"
"B. obscurior x x x 3		1				1															1																		3"
"Camponotus																																							0"
"C. bedoti	1	1		1			1				1	1	1	1	1			1		1	1	1		1	1	1						1							17"
"C. chloroticus x x 2				1														1																					2"
"C. elysii x x x 3						1		1								1																							3"
"C. guppyi x 1							1																																1"
"C. loa x x x x x x x x x x 10						1	1	1					1			1		1							1	1						1	1						10"
"C. loa belli x x 2													1	1																									2"
"C. novaehollandiae x x x x 4						1																			1	1	1												4"
"C. sp. BP01 x 1						1																																	1"
"C. sp. BP02* x 1						1																																	1"
"C. sp. BP04 x 1						1																																	1"
"C. sp. BP05* x 1						1																																	1"
"C. sp. BP06* x 1																					1																		1"
"C. sp. BP07* x 1																					1																		1"
"C. sp. BP08* x x 2		1																			1																		2"
"C. sp. BP09* x 1																					1																		1"
"C. sp. BP10* x 1																					1																		1"
"Cardiocondyla																																							0"
"C. kagutsuchi x 1						1																																	1"
"C. nivalis x x x x x x x x 8				1		1				1		1								1	1							1								1			8"
"C. nuda x x x x x 5				1			1														1			1			1												5"
"Carebara																																							0"
"C. atoma x x x x x 5		1		1		1															1						1												5"
"C. viehmeyeri x 1						1																																	1"
"Cerapachys																																							0"
"C. inconspicuus x x x 2																					1						1										1		3"
"C. pawa																																	1				1		2"
"C. terricola x x x x x x x 6						1							1	1		1											1					1					1		7"
"C. sp. BP01* x 1																					1																		1"
"Colobostruma																																							0"
"C. foliacea x x x x x x 6			1	1								1								1		1					1												6"
"C. sp. BP01* x 1						1																																	1"
"Crematogaster																																							0"
"C. abrupta x x x 3				1				1								1																							3"
"C. elysii x x 2								1								1																							2"
"C. foxi x 1						1																																	1"
"C. nesiotis x 1																						1																	1"
"C. obnigra x x 2				1																		1																	2"
"C. scita x 1				1																																			1"
"C. wheeleri x 1							1																																1"
"Cryptopone																																							0"
"C. butteli x 1				1																																			1"
"C. crassicornis x 1				1																																			1"
"C. fusciceps x x x x x x 5				1		1	1					1															1										1		6"
"C. testacea x x x x x x x x x 8		1		1	1	1						1									1						1						1				1		9"
"C. sp. BP01* x 1						1																																	1"
"Dilobocondyla																																							0"
"D. sp. BP01 x 1																					1																		1"
"Discothyrea																																							0"
"D. clavicornis x x x x x x x x x 8				1		1	1													1		1	1				1		1								1		9"
"Eurhopalothrix																																							0"
"E. brevicornis				1								1	1	1													1									1			6"
"E. greensladei x 1				1																																			1"
"E. isabellae x x x x 4				1								1															1									1			4"
"E. procera x x x x x x x x x x x x x x 14				1		1	1	1				1	1	1		1				1					1	1	1	1				1							14"
"Gnamptogenys																																							0"
"G. albiclava x x x 2				1																							1										1		3"
"G. crenaticeps x x x 2						1																					1										1		3"
"G. lucida x x 1							1																														1		2"
"G. malaensis x x x x x x x x x 8					1	1	1				1	1										1												1		1	1		9"
"G. preciosa x 1				1																																			1"
"G. solomonensis x x x 3				1	1							1																											3"
"G. sp. BP03 x 1						1																																	1"
"Hypoponera																																							0"
"H. biroi x x 1																					1																1		2"
"H. confinis x 0																																					1		1"
"H. pallidula x x x 2							1																				1										1		3"
"H. papuana x x x x x x 5						1		1								1											1						1				1		6"
"H. pruinosa x x x x x x x x x x x x 11		1				1	1	1					1	1		1					1						1					1	1				1		12"
"H. punctatissima x x 2						1															1																		2"
"H. ragusai x x x 2				1		1																															1		3"
"H. sororcula x 0																																					1		1"
"H. sp. BP01 x 1						1																																	1"
"H. sp. BP06 x 1						1																																	1"
"H. sp. BP07 x 1						1																																	1"
"H. sp. BP08 x 1						1																																	1"
"Iridomyrmex																																							0"
"I. anceps x x x x x x x x x x x 11				1	1		1		1		1	1					1		1			1					1	1											11"
"I. pallidus x 1				1																																			1"
"I. rufoniger x 1							1																																1"
"Leptogenys																																							0"
"L. diminuta x x x x x 4						1		1								1																	1				1		5"
"L. foreli x x x x x 4							1	1								1					1																1		5"
"L. oresbia x x 1								1																													1		2"
"L. truncata x x x 2																									1	1											1		3"
"Lordomyrma																																							0"
"L. epinotalis x x x x x x x 7						1	1			1			1								1						1						1						7"
"Monomorium																																							0"
"M. australicum x x x x x 5		1		1		1															1												1						5"
"M. destructor x 1																					1																		1"
"M. floricola x x x x x x x x 8		1		1		1					1	1	1								1											1							8"
"M. pharaonis x x x x x 5				1			1									1					1												1						5"
"Myopias																																							0"
"M. sp. BP01* x 1						1																																	1"
