"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Aetheorrhiza bulbosa,,,**,,**
Allium ampeloprasum,,,*?,,
Allium commutatum,,,** *,*,*
Allium lojaconoi,,,*? *,*?,
Allium melitense,,,*?,*,
Aloe vera,,,*,,
Agave americana var. americana,,,*,,
Agave americana var. variegata,,,**,,
Agave sisalana,,,*,,
Ajuga iva,,,**,,
Ajuga pseudoiva,,,*?,,
Anacamptis collina,,,**,,
Anacamptis pyramidalis,,,* *,*,
Anacamptis urvilleana,,,** ** *,,
Anagallis arvensis,,,* * **,*,
Anthemis urvilleana,,*,** ** *,*,*
Anthyllis hermanniae,,,,,
subsp. melitensis,,,* *,,
Anthyllis vulneraria,,,** *,,
Arisarum vulgare,,,** ** ** **,**,**
Arthrocnemum macrostachyum,,*,* * * *,,*
Atractylis gummifera,,,*,,
Arum italicum,,,**,,
Asparagus aphyllus,,*,* * * * * *,*,*
Asphodelus aestivus,,,* *,*,
Asteraceae sp.,,,*,,
Astragalus hamosus,,,*,*,
Avena sterilis,,,,*,
Bellis annua,,,*,,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Beta maritima,,,**,,
Blackstonia perfoliata,,,*? *,,
Bituminaria bituminosa,,,*? *,,
Brachypodium retusum,,,*,,
Bromus madritensis,,,* *,*,
Bromus sp.,,,**,,
Borago officinalis,,,*,,
Catapodium marinum,,,,*,
Capparis orientalis,,,* * * * * *,*,*
Carlina involucrata,,,** *,*,
Centaurea melitensis,,,*?,,
Centaurium erythraea,,,** **,,
Centaurium pulchellum,,,*? *,,
Ceratonia siliqua,,,*,,
Cheirolophus crassifolius,*,,,,
Chamaerops humulis,,,**,,
Chenopodium murale,,,*?,,
Chiliadenus bocconei,,,,,
"(Jasonia bocconei)",,,*,,
Cremnophyton lanfrancoi,,,,,*
Cichorium spinosum,,,**,*,
Crithmum maritimum,*,*,* *,*,
Crucianella rupestris,,*,* * ** * *,*,
Convolvulus althaeoides,,,*,,
Convolvulus lineatus,,,**,,
Convolvulus oleifolius,,,** * * *,*,
Coronilla scorpioides,,,** **,,
Cuscuta epithymum,,,**,,
Cutandia maritima,,,*?,,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Cynara cardunculus,,,* *,,
Cynodon dactylon,,,**,,
Cynomorium coccineum,,,*,,*
Darniella melitensis,*,,** * * * *,*,*
Dactylis hispanica,,,** *,,
Daucus gingidium,*,,** ** ** ** ** *,*,*
Daucus rupestris,,,*,,
Desmazeria marina,,,*?,,
Desmazeria pignattii,,,* **,*,*
Desmazeria rigida,,,*?,,
Dittrichia graveolens,,,*?,,
Dittrichia viscosa,,,* *,,
Ecballium elaterium,,,*?,,
Echium arenarium,,**,* **,,
Echium parviflorum,,,*?,*,
Erodium malacoides,,,**,* *,
Euphorbia exigua,,,,,
var. pycnophylla,,,* ** **,,
Euphorbia dendroides,,,*?,,
Euphorbia melitensis,,,*,*?,
Euphorbia peplus,,,*? **,,
Euphorbia pinea,,,*,*,
Evax pygmaea,,,* **,,
Fumaria officinalis,,,** **,,
Fedia graciliflora,,,**,,
Ferula communis,,,* *,*,
Ficus carica,,,* *,,
Foeniculum vulgare,,,,*?,
Frankenia hirsuta,,*,* **,*,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Frankenia pulverulenta,,,*,,
Galactites tomentosa,,,* * *,*,
Geranium rotundifolium,,,**,,
Gynandriris sisyrinchium,,*,*,*,
Halimione portulacoides,,,**,,
Hedypnois rhagadioloides,,,*?,,
Hedysarum spinosum,,,**,,
Hedysarum coronarium,,,*,,
Helichrysum melitense,,,,,*
Hippocrepis biflora,,,** **,,
Hippocrepis multisiliquosa,,,*,,
Hypericum aegypticum,,,* *,*,*
Hypericum triquetrifolium,,,*,,
Hyoscyamus albus,,,*,,
Hyoseris frutescens,,,*,,
Hyoseris scabra,,,**,,
Iris pseudopumila,,,** **,,
Iris sicula,,,**,,
Limbarda crithmoides,*,*,* * * * * * * * *,*,*
Lagurus ovatus,,,**,*,
Lavatera arborea,,,,,
"(Malva dendromorpha)",,,*,,*
Leontodon tuberosus,,,**,,
Limonium melitense,,*,** * * * * *,*,*
Limonium virgatum,*,*,* *,,*
Limonium zeraphae,,,*?,,
Linaria pseudolaxiflora,,,*?,,*
Linum strictum,,,** * *,,
Linum trigynum,,,*,,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Lobularia maritima,,,* * **,,
Lonicera implexa,,,**,,
Lotus cytisoides,,*,** *,*,*
Lotus edulis,,,* *,,
Lotus ornithopodioides,,,** **,,
Lygeum spartum,,,* *,*,
Matthiola incana,,,,,
subsp. melitensis,,,* *,,*
Malva sp.,,,,,**
Malva parviflora,,,**,,
Medicago sp.,,,** **,,
Medicago sp.2,,,**,,
Melilotus sp.,,,** ** **,**,
Mercurialis  annua,,,*?,,
Mesembryanthemum nodiflorum,,,* ** *,,*
Muscari comosum,,,**,,
Narcissus serotinus,,,** ** ** *,,
Narcissus tazetta,,,* ** ** *,,
Nauplius aquaticus,,,,,
"(Astericus aquaticus)",,,*,,
Olea europaea,,,**,,
Ononis mitissima,,,*?,,
Ononis ornithopodioides,,,** *,,
Ononis sieberi,,,**,,
Opuntia sp.,,,,*?,
Opuntia ficus-indica,,,*?,,
Opuntia stricta,,,*,,
Ophrys bombyliflora,,,** ** **,,
Ophrys melitensis,,,**,,
Orchis coriophora,,,,,
"(Orchis fragrans)",,,*?,,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Ornithogalum arabicum,,,*,,
Ornithogalum narbonense,,,*,,
Orobanche sp.,,,** **,**,*
Orobanche cernua,,,**,,
Orobanche cf. densiflora,,,**,,
Orobanche ramosa,,,,,
subsp. mutelii,,,*?,,
Oxalis pes-caprae,,,*,,
Pancratium maritimum,,,*,,
Pallenis spinosa,,,* *,,
Parapholis filiformis,,*,** ** *,,
Parapholis incurva,,,*?,,
Parietaria cretica,,,*?,,
Parietaria judaica,,,*,,
Periploca angustifolia,,,** *,*,
Phagnalon graecum,,,,,
subsp. ginzbergeri,,,** * *,*,
Pistacia lentiscus,,,* * *,*,
Plantago afra,,,**,,
Plantago coronopus,,*,*,,
Plantago lagopus,,,* **,*,
Prasium majus,,,** ** *,*,
Prospero autumnale,,,** ** ** ** *,,
Polypogon maritimus,,,,,
subsp. subspathaceus,,,*?,,
Reseda lutea,,,*?,,
Rostraria cristata,,,,*,
Romulea columnae,,,*,,
Romulea ramiflora,,**,** ** **,**,
Reichardia picroides,,,* *,,
Rhodalsine geniculata,,,*,,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Rubia peregrina,,,*,,
Ruta chalepensis,,,** *,,**
Sagina apetala,,,*?,,
Satureja microphylla,,,**,,
Scabiosa maritima,,,,,
Scorpiurus muricatus,,,*? * *,,
Scilla sicula,,,**,,
Sedum caeruleum,,,*,*,
Sedum caespitosum,,,,*?,
Sedum litoreum,,,** ** *,*,
Sedum rubens,,,*? **,,
Sedum sediforme,,,*,,
Smilax aspera,,,*,,
Senecio bicolor,,,,,
"(Jacobaea maritima)",,,* * *,*,
Senecio leucanthemifolius,,,* ** ** **,,*
Sherardia arvensis,,,*? **,,
Sideritis romana,,,*,,
Silene sedoides,,,* * * ** *,*,*
Spergularia sp.,,,**,,
Spergularia bocconei,,,*?,,
Spergularia marina,,,*?,,
Sporobolus pungens,,*,,,
Solanum villosum,,,*,,
Sonchus tenerrimus,,**,*,*,*
Sonchus oleraceus,,,** *,*,*
Suaeda vera,,*,,,
Teucrium fruticans,,*,* *,,
Theligonum cynocrambe,,*,,,
"",,,SATELLITE ISLETS OF THE MALTESE ISLANDS,,
SPECIES,,,,,
"",C,H,I J K L N M O P Q,S,U
Thymbra capitata,,,*? * * *,*?,
Tordylium apulum,,,*? **,,
