variable name	necessary
dataset_id	TRUE
year	TRUE
regional	TRUE
local	TRUE
latitude	TRUE
longitude	TRUE
effort	TRUE
data_pooled_by_authors	TRUE
data_pooled_by_authors_comment	FALSE
sampling_years	FALSE
alpha_grain	TRUE
alpha_grain_unit	TRUE
alpha_grain_type	TRUE
alpha_grain_comment	TRUE
gamma_bounding_box	TRUE
gamma_bounding_box_unit	TRUE
gamma_bounding_box_type	TRUE
gamma_bounding_box_comment	TRUE
gamma_sum_grains	TRUE
gamma_sum_grains_unit	TRUE
gamma_sum_grains_type	TRUE
gamma_sum_grains_comment	TRUE
realm	TRUE
taxon	TRUE
comment	TRUE
comment_standardisation	TRUE
doi   TRUE
